Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/schema/ [swagger],97,3,2800.0,4381.105813401518,310.52509997971356,17283.24430002249,34638.51546391752,1.1554116209204002,0.03573438002846598,2800,3700,4900,5500,11000,15000,17000,17000,17000,17000,17000
GET,/api/v1/,100,100,2600.0,2939.6639959994354,272.63809999567457,7289.03069999069,16079.4,1.1911460009488661,1.1911460009488661,2700,3000,3000,3700,4700,6000,6500,7300,7300,7300,7300
POST,/api/v1/auth/login/ [nonexistent],102,100,4600.0,6438.828884313789,1935.7502000057139,20077.64329999918,234.26470588235293,1.2149689209678436,1.1911460009488661,4600,5300,6600,8100,14000,18000,20000,20000,20000,20000,20000
POST,/api/v1/auth/login/ [valid],525,511,4600.0,6168.907493142679,287.43430000031367,23351.93370000343,232.40952380952382,6.2535165049815475,6.086756064848706,4600,5300,6700,7900,13000,19000,20000,21000,23000,23000,23000
POST,/api/v1/auth/login/ [wrong pw],155,153,4900.0,6964.729467095927,209.26699999836273,21534.691100008786,236.04516129032257,1.8462763014707426,1.8224533814517652,4900,5600,7100,11000,16000,20000,21000,21000,22000,22000,22000
POST,/api/v1/auth/logout/ [unauth probe],79,4,3800.0,6030.1814240516205,2066.4588999934494,19503.310100000817,231.64556962025316,0.9410053407496043,0.04764584003795465,3800,5100,8000,11000,13000,18000,19000,20000,20000,20000,20000
POST,/api/v1/auth/register/ [comprehensive],167,167,4200.0,6042.125304193134,638.522399996873,18363.876800023718,234.65868263473052,1.9892138215846065,1.9892138215846065,4200,5200,7900,10000,13000,14000,17000,18000,18000,18000,18000
POST,/api/v1/auth/register/ [email],671,671,4600.0,6741.487071236694,371.8802999937907,76141.7858999921,240.04918032786884,7.992589666366892,7.992589666366892,4600,5600,7000,11000,14000,19000,20000,20000,76000,76000,76000
POST,/api/v1/auth/register/ [empty body],89,88,4700.0,6442.285339325782,766.6807000059634,20367.962999996962,238.34831460674158,1.0601199408444908,1.0482084808350023,4700,6200,7200,11000,13000,16000,20000,20000,20000,20000,20000
POST,/api/v1/auth/register/ [phone],223,223,4300.0,6430.590681615025,314.74649999290705,20359.75640002289,240.02242152466368,2.6562555821159717,2.6562555821159717,4300,5000,6800,11000,15000,19000,20000,20000,20000,20000,20000
POST,/api/v1/auth/register/ [pw mismatch],77,75,4700.0,6310.214412985627,1196.907600009581,21407.162899995456,242.36363636363637,0.917182420730627,0.8933595007116496,4700,5500,6700,10000,13000,16000,19000,21000,21000,21000,21000
POST,/api/v1/auth/resend-otp/ [probe],27,27,3600.0,6763.786348144532,1395.7911999896169,18673.19159998442,243.5185185185185,0.3216094202561939,0.3216094202561939,3600,8300,11000,12000,13000,18000,19000,19000,19000,19000,19000
,Aggregated,2312,2122,4400.0,6219.184538278453,209.26699999836273,76141.7858999921,2365.4450692041523,27.539295541937786,25.27611814013494,4400,5200,6700,8900,14000,18000,20000,20000,23000,76000,76000
