Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/schema/ [swagger],18,0,75,105.21486110681306,30.130999977700412,461.90259998547845,35744.0,0.4127133796886657,0.0,87,99,100,150,170,460,460,460,460,460,460
GET,/api/v1/,10,10,160.0,209.74751999310683,124.4361000135541,371.72120000468567,35732.0,0.22928521093814763,0.22928521093814763,170,180,320,350,370,370,370,370,370,370,370
POST,/api/v1/auth/login/ [nonexistent],132,128,24,62.78957196958469,6.986599997617304,653.4018999955151,245.0909090909091,3.0265647843835484,2.9348507000082895,24,37,61,76,170,310,480,490,650,650,650
POST,/api/v1/auth/login/ [valid],716,715,24,67.79444804428927,6.118899997090921,664.7660000016913,248.27374301675977,16.41682110317137,16.393892582077555,24,42,67,93,180,320,460,490,660,660,660
POST,/api/v1/auth/login/ [wrong pw],234,232,23,56.50164914475634,6.087099987780675,524.1874000057578,247.66666666666666,5.365273935952654,5.319416893765025,24,40,58,78,150,250,340,390,520,520,520
POST,/api/v1/auth/logout/ [unauth probe],21,0,26,80.75180952437222,6.440200028009713,493.8362000102643,244.0,0.48149894297011,0.0,26,67,97,100,150,320,490,490,490,490,490
POST,/api/v1/auth/register/ [comprehensive],46,46,21,195.468445654589,6.58419998944737,5513.353899994399,242.34782608695653,1.054711970315479,1.054711970315479,22,57,83,140,270,490,5500,5500,5500,5500,5500
POST,/api/v1/auth/register/ [email],610,610,22,77.91992049143252,5.556499992962927,2937.255800003186,243.8754098360656,13.986397867227005,13.986397867227005,22,45,82,120,210,340,480,560,2900,2900,2900
POST,/api/v1/auth/register/ [empty body],86,86,21,49.68962558277146,4.8540999996475875,364.7391999838874,244.0,1.9718528140680696,1.9718528140680696,21,33,50,67,140,200,290,360,360,360,360
POST,/api/v1/auth/register/ [phone],217,217,22,77.33004654514654,5.474100005812943,3106.059000012465,243.64976958525347,4.975489077357803,4.975489077357803,22,43,63,94,190,260,420,520,3100,3100,3100
POST,/api/v1/auth/register/ [pw mismatch],72,72,24,59.44984027802194,6.387500005075708,512.0195999916177,244.0,1.650853518754663,1.650853518754663,24,38,69,90,150,260,330,510,510,510,510
POST,/api/v1/auth/resend-otp/ [probe],9,9,29,66.38998889441912,6.771899992600083,287.8969000012148,244.0,0.20635668984433286,0.20635668984433286,29,31,79,120,290,290,290,290,290,290,290
,Aggregated,2171,2125,24,72.86600239511849,4.8540999996475875,5513.353899994399,703.5642561031783,49.77781929467185,48.72310732435637,24,43,71,99,180,300,460,520,2900,5500,5500
